City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
108,Thompson,CA,55.7435,-97.8558,-9.24,70,75,5.75,broken clouds
109,Nampula,MZ,-15.1165,39.2666,80.55,65,20,9.22,light rain
110,Airai,TL,-8.9266,125.4092,59.88,93,99,1.05,overcast clouds
111,Fairbanks,US,64.8378,-147.7164,-25.64,72,0,0.0,clear sky
112,Beringovskiy,RU,63.05,179.3167,29.12,98,100,15.1,snow
113,Georgetown,MY,5.4112,100.3354,80.53,89,40,3.44,scattered clouds
114,Faya,SA,18.3851,42.4509,55.51,38,1,9.64,clear sky
115,Amazar,RU,53.858,120.875,-25.87,94,12,3.83,few clouds
116,Fukue,JP,32.6881,128.8419,41.34,75,100,35.28,overcast clouds
117,Tezu,IN,27.9167,96.1667,62.56,47,5,4.45,clear sky
118,Nome,US,64.5011,-165.4064,23.07,39,20,10.36,few clouds
119,Eston,CA,51.1501,-108.7514,3.92,95,100,17.76,light snow
120,Nantucket,US,41.2835,-70.0995,46.51,77,100,25.32,overcast clouds
121,Moree,AU,-29.4667,149.85,62.92,66,61,8.48,broken clouds
122,Debre Sina,ET,9.85,39.7667,48.61,80,78,2.68,broken clouds
123,San Cristobal,VE,7.7669,-72.225,77.18,40,53,6.46,broken clouds
124,Jamestown,US,42.097,-79.2353,33.39,59,100,10.36,overcast clouds
125,Kasongo-Lunda,CD,-6.4667,16.8167,71.11,90,79,0.72,broken clouds
126,Lakselv,NO,70.0513,24.9718,3.02,72,89,20.71,overcast clouds
127,Cidreira,BR,-30.1811,-50.2056,71.55,63,4,13.33,clear sky
128,Naze,JP,28.3667,129.4833,52.72,72,100,27.04,overcast clouds
129,Bandarbeyla,SO,9.4942,50.8122,76.73,73,16,22.84,few clouds
130,Carnarvon,AU,-24.8667,113.6333,74.07,71,0,20.0,clear sky
131,Cap Malheureux,MU,-19.9842,57.6142,78.48,70,79,8.01,broken clouds
132,Caceres,ES,39.522,-6.3748,52.16,82,93,2.95,overcast clouds
133,Minas,UY,-34.3759,-55.2377,81.07,24,25,13.58,scattered clouds
134,Faanui,PF,-16.4833,-151.75,80.22,77,97,11.01,light rain
135,Provideniya,RU,64.3833,-173.3,22.42,81,100,16.84,overcast clouds
136,Kapaa,US,22.0752,-159.319,70.12,91,0,8.05,clear sky
137,College,US,64.8569,-147.8028,-25.65,73,0,0.0,clear sky
138,Najran,SA,17.4924,44.1277,63.25,38,0,5.08,clear sky
139,Upernavik,GL,72.7868,-56.1549,11.35,56,100,5.3,overcast clouds
140,Katherine,AU,-14.4667,132.2667,75.52,94,40,4.61,light rain
141,San Juan,AR,-31.5375,-68.5364,87.44,22,0,9.04,clear sky
142,Henties Bay,NA,-22.116,14.2845,64.85,91,12,8.05,few clouds
143,Nyurba,RU,63.2842,118.3319,-46.88,100,72,2.48,broken clouds
144,Antalaha,MG,-14.9003,50.2788,74.32,81,81,4.27,broken clouds
145,Shelburne,CA,44.0787,-80.2041,30.65,87,95,11.45,overcast clouds
146,Saint-Augustin,CA,51.226,-58.6502,32.47,77,100,14.5,overcast clouds
147,Severnyy,RU,50.677,36.5532,42.84,100,100,8.95,fog
148,Kiama,AU,-34.6833,150.8667,59.38,85,88,5.99,overcast clouds
149,Nevsehir,TR,38.9167,34.6667,42.01,93,96,3.44,overcast clouds
150,Gat,IL,31.61,34.7642,68.4,100,4,4.76,clear sky
151,Soure,BR,-0.7167,-48.5233,83.07,70,49,11.92,heavy intensity rain
152,Tutoia,BR,-2.7619,-42.2744,84.0,67,33,11.74,scattered clouds
153,Leningradskiy,RU,69.3833,178.4167,0.39,83,14,3.04,few clouds
154,Preobrazheniye,RU,42.9019,133.9064,5.31,72,3,8.79,clear sky
155,Severnoye,RU,56.3491,78.3619,-5.82,93,68,5.08,broken clouds
156,Paamiut,GL,61.994,-49.6678,22.39,63,82,8.41,broken clouds
157,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,20,11.5,few clouds
158,Eirunepe,BR,-6.6603,-69.8736,82.56,67,100,1.07,overcast clouds
159,Cherskiy,RU,68.75,161.3,-13.13,100,100,3.96,overcast clouds
160,Nileshwar,IN,12.25,75.1,76.8,73,78,5.7,heavy intensity rain
161,Keuruu,FI,62.2667,24.7,23.18,94,100,7.74,overcast clouds
162,Lexington,US,37.9887,-84.4777,38.25,53,100,19.57,overcast clouds
163,Saldanha,ZA,-33.0117,17.9442,69.85,87,35,20.96,scattered clouds
164,Dovers,VC,12.8833,-61.1833,81.99,77,2,18.52,clear sky
165,Alofi,NU,-19.0595,-169.9187,76.89,94,100,1.14,light rain
166,Pomabamba,PE,-8.8333,-77.4667,58.15,61,99,3.33,overcast clouds
167,Manta,EC,-0.95,-80.7333,76.78,78,40,13.8,scattered clouds
168,Pisco,PE,-13.7,-76.2167,75.25,69,0,11.5,clear sky
169,Umm Kaddadah,SD,13.6017,26.6876,71.01,26,45,12.08,scattered clouds
170,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,77,100,14.43,overcast clouds
171,Touros,BR,-5.1989,-35.4608,83.25,63,23,13.06,few clouds
172,Denia,ES,38.8408,0.1057,58.75,85,20,1.99,few clouds
173,Aksarayskiy,RU,46.7924,48.0119,35.35,83,100,4.9,overcast clouds
174,Makakilo City,US,21.3469,-158.0858,73.62,78,0,3.44,clear sky
175,Hithadhoo,MV,-0.6,73.0833,81.66,75,34,11.45,scattered clouds
176,Pundaguitan,PH,6.3711,126.1689,81.27,74,100,8.05,overcast clouds
177,Havre-Saint-Pierre,CA,50.2334,-63.5986,26.96,74,100,18.41,overcast clouds
178,Gizo,SB,-8.103,156.8419,81.39,77,80,5.84,broken clouds
179,Arcata,US,40.8665,-124.0828,46.26,88,0,3.44,clear sky
180,Sukhothai,TH,17.25,99.6667,74.12,67,100,4.45,overcast clouds
181,Hami,CN,42.8,93.45,18.21,38,0,3.87,clear sky
182,Souillac,MU,-20.5167,57.5167,77.38,73,40,11.5,scattered clouds
183,Berlevag,NO,70.8578,29.0864,17.6,73,75,5.75,broken clouds
184,Xai-Xai,MZ,-25.0519,33.6442,76.08,94,100,17.94,moderate rain
185,Moindou,NC,-21.6924,165.677,77.76,77,30,2.19,scattered clouds
