hotel_id,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
248,Amahai,ID,77.45,light rain,-3.3333,128.9167,No hotel found
249,Dakar,SN,88.68,clear sky,14.6937,-17.4441,翁记小吃
250,Aswan,EG,74.5,clear sky,24.0934,32.907,Yaseen hotel
252,Mahebourg,MU,78.26,scattered clouds,-20.4081,57.7,Grand Bel Air
254,Mayumba,GA,78.08,overcast clouds,-3.432,10.6554,Résidence Hôtelière Fabso
255,Namibe,AO,72.27,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
256,Jitra,MY,76.89,scattered clouds,6.2681,100.4217,Bustani Hotel
263,Merauke,ID,78.1,broken clouds,-8.4667,140.3333,No hotel found
265,Port Blair,IN,82.44,mist,11.6667,92.75,Andaman Ocean Breeze
266,Poum,NC,79.5,clear sky,-20.2333,164.0167,No hotel found
271,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
272,Koumac,NC,77.86,clear sky,-20.5667,164.2833,Monitel Koumac
273,Rawson,AR,73.69,light rain,-43.3002,-65.1023,Hotel Deportivo
281,El Retorno,CO,87.04,overcast clouds,2.3302,-72.6276,Hotel Casero
282,Camana,PE,72.19,overcast clouds,-16.6228,-72.7111,Caja Arequipa
289,Chimore,BO,86.29,broken clouds,-16.9833,-65.1333,No hotel found
292,Ashti,IN,72.01,few clouds,19.3833,76.2333,No hotel found
293,Takaungu,KE,82.89,broken clouds,-3.6837,39.8566,No hotel found
294,Kavieng,PG,81.61,overcast clouds,-2.5744,150.7967,Kavieng Hotel
301,Atar,MR,86.05,clear sky,20.5169,-13.0499,فندق سكليل
302,Buala,SB,79.09,overcast clouds,-8.145,159.5921,No hotel found
305,Oussouye,SN,89.69,clear sky,12.485,-16.5469,Campement Alulum
306,San Andres,CO,86.02,overcast clouds,12.5847,-81.7006,Hotel Decameron Isleño
311,San Carlos De Bariloche,AR,73.24,few clouds,-41.1456,-71.3082,Kronos
312,Loncoche,CL,78.6,clear sky,-39.3667,-72.6333,Loncoche
313,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Hôtel 6500 CFA
314,Ambilobe,MG,74.44,overcast clouds,-13.2,49.05,Hôtel National
319,Praya,CV,77.54,few clouds,14.9215,-23.5087,Casa Sodadi
320,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
323,Tessalit,ML,75.63,clear sky,20.1986,1.0114,No hotel found
324,Sur,OM,73.45,clear sky,22.5667,59.5289,Sur Hotel
326,Hambantota,LK,77.34,broken clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
329,Bahia Honda,CU,84.07,few clouds,22.9036,-83.1592,No hotel found
330,Marica,BR,78.75,scattered clouds,-22.9194,-42.8186,Pousada Vila Flor
331,Port Hedland,AU,78.85,few clouds,-20.3167,118.5667,The Esplanade Hotel
336,Manaus,BR,81.1,moderate rain,-3.1019,-60.025,No hotel found
337,Araouane,ML,76.21,clear sky,18.9048,-3.5265,No hotel found
338,Tomatlan,MX,79.86,overcast clouds,19.9333,-105.25,Hotel Hacienda Vieja Tomatlan
342,Rio Grande,BR,78.91,scattered clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
349,High Rock,BS,73.42,broken clouds,26.6208,-78.2833,No hotel found
352,Tagusao,PH,79.86,overcast clouds,9.1924,117.8141,"Shaman's Breath- Beach, Bed & Breakfast"
353,Kalmunai,LK,75.61,overcast clouds,7.4167,81.8167,Saji new food
357,Campos Gerais,BR,76.1,overcast clouds,-21.235,-45.7586,Hotel Central
358,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,Hotel valencia
